Q1_What_is_your_age_group,Q2_What_is_your_occupation,Q3_Are_you_aware_that_AI_is_used_to_personalize_the_ads_you_see_online,Q4__How_often_do_you_interact_with_online_advertisements_personalized_or_general,Q5_Which_platforms_do_you_see_personalized_ads_on_the_most_Select_all_that_apply,Q6_In_the_past_how_much_have_you_spent_on_purchases_influenced_by_personalized_ads,Q7_How_concerned_are_you_about_the_amount_of_personal_data_companies_collect_to_show_personalized_ads,Q8_Which_of_the_following_data_do_you_think_is_most_often_used_by_companies_to_personalize_ads_Select_all_that_apply,Q9_When_encountering_personalized_ads_do_you_feel_youve_given_sufficient_consent_for_your_data_to_be_used,Q10_What_level_of_transparency_do_you_expect_from_companies_that_use_AI_for_personalized_advertising,Q11_To_what_extent_do_you_agree_with_the_following_statement_Personalized_ads_can_manipulate_my_purchasing_decisions_by_exploiting_my_preferences_or_emotions,Q12_Do_you_think_personalized_ads_are_more_persuasive_than_traditional_ads,Q13_Have_you_ever_felt_manipulated_by_personalized_ads_into_making_purchases_you_didnt_intend_to,Q14_Have_you_noticed_that_personalized_ads_are_biased_toward_targeting_specific_demographic_groups,Q15_Do_you_think_incorporating_bias_detection_mechanisms_in_AI_systems_can_improve_fairness_in_personalized_ads,Q16_How_often_do_you_use_privacyfocused_tools_such_as_ad_blockers_or_VPNs_to_limit_personalized_ads,Q17_Have_you_noticed_that_ads_for_products_or_services_you_searched_for_follow_you_across_different_platforms_eg_from_Google_to_Facebook,Q18_How_much_do_you_feel_that_personalized_ads_influence_your_emotions_eg_excitement_urgency_when_deciding_on_purchases,Q19_Do_you_feel_that_you_have_adequate_control_over_the_types_of_personalized_ads_you_see,Q20_Do_you_believe_that_personalized_ads_reinforce_existing_stereotypes
18-24,Student,Yes,Never,Instagram,0,5,"Purchase history, Location data, Social media activity",No,"Some transparency, but only for sensitive data",3,"Yes, they influence my decisions more",Yes,Not Sure,Yes,Sometimes,"Yes, Frequently",5,Occasionally,"Yes, frequently"
18-24,Student,Yes,Often,"Google, Instagram, Youtube",Less than ₹500,5,"Browsing history, Purchase history, Demographic information",No,Full transparency about how data is collected and used,3,"Yes, they influence my decisions more",Yes,Yes,Yes,Rarely,"Yes, Frequently",3,Occasionally,"Yes, frequently"
25-34,Employed,Yes,Sometimes,"Google, Facebook, Instagram",Less than ₹500,2,"Browsing history, Purchase history, Demographic information",No,"Some transparency, but only for sensitive data",2,"No, they are about the same",No,Yes,Yes,Rarely,"Yes, Frequently",2,Occasionally,"Yes, frequently"
18-24,Student,Yes,Sometimes,"Instagram, Youtube",₹2000 - ₹5000,2,"Browsing history, Purchase history, Social media activity",Not Sure,No need for detailed transparency as long as ads are relevant,3,"No, they are about the same",No,Not Sure,Not Sure,Never,Rarely,2,Occasionally,Rarely
Under 18,Student,No,Never,Instagram,0,3,"Browsing history, Social media activity",No,Full transparency about how data is collected and used,5,"Yes, they influence my decisions more",Maybe,Not Sure,Not Sure,Always,"Yes, Frequently",4,Occasionally,Rarely
Under 18,Student,Yes,Often,Google,0,5,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",Not Sure,No need for detailed transparency as long as ads are relevant,5,"Yes, they influence my decisions more",No,Yes,Not Sure,Rarely,"Yes, Frequently",3,"Yes, frequently",Occasionally
18-24,Student,Yes,Always,Instagram,0,2,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",Yes,No need for detailed transparency as long as ads are relevant,2,"No, they are about the same",No,Not Sure,Not Sure,Never,"Yes, Frequently",1,"Yes, frequently",Never
18-24,Student,Yes,Rarely,"Instagram, Youtube",0,3,"Browsing history, Social media activity",No,"Some transparency, but only for sensitive data",3,"Yes, they influence my decisions more",No,Not Sure,Not Sure,Rarely,"Yes, Frequently",4,Rarely,Rarely
18-24,Student,Yes,Rarely,"Google, Instagram",₹500 - ₹2000,3,"Browsing history, Purchase history, Social media activity, Demographic information",No,"Some transparency, but only for sensitive data",4,"Yes, they influence my decisions more",No,No,Yes,Often,"Yes, Frequently",2,Rarely,Rarely
18-24,Student,Yes,Never,Instagram,Less than ₹500,4,"Browsing history, Purchase history, Location data, Demographic information",No,Full transparency about how data is collected and used,4,"No, they are about the same",No,Not Sure,Yes,Often,Occasionally,3,Rarely,"Yes, frequently"
18-24,Student,Yes,Rarely,"Google, Instagram, Youtube",0,4,"Browsing history, Social media activity",No,"Some transparency, but only for sensitive data",5,"Yes, they influence my decisions more",Yes,Yes,No,Never,"Yes, Frequently",1,Rarely,Occasionally
18-24,Student,Yes,Often,"Google, Facebook, Instagram, Youtube",₹500 - ₹2000,4,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",No,Full transparency about how data is collected and used,4,"Yes, they influence my decisions more",Yes,Yes,Yes,Sometimes,"Yes, Frequently",3,Occasionally,Occasionally
18-24,Student,Yes,Sometimes,Instagram,₹500 - ₹2000,3,"Browsing history, Social media activity, They sometimes listen to your conversations and personalise ads according ",No,Full transparency about how data is collected and used,4,"Yes, they influence my decisions more",Maybe,Not Sure,Not Sure,Often,Occasionally,3,Occasionally,Occasionally
18-24,Student,Yes,Rarely,"Google, Instagram",₹500 - ₹2000,3,"Browsing history, Purchase history, Social media activity",Yes,"Some transparency, but only for sensitive data",2,"No, they are about the same",No,Yes,Yes,Sometimes,Occasionally,3,Occasionally,Occasionally
Under 18,Student,Yes,Always,Instagram,0,3,Social media activity,Not Sure,"Some transparency, but only for sensitive data",4,"No, they are less influential",Maybe,Yes,Yes,Sometimes,Occasionally,3,Rarely,Rarely
Under 18,Student,Yes,Often,"Google, Instagram, Youtube",0,4,"Browsing history, Location data, Social media activity",No,Full transparency about how data is collected and used,5,"Yes, they influence my decisions more",Maybe,Yes,Not Sure,Sometimes,"Yes, Frequently",3,"Yes, frequently",Occasionally
18-24,Employed,Yes,Sometimes,"Instagram, Youtube, ",0,3,"Browsing history, Purchase history, Social media activity",Yes,"Some transparency, but only for sensitive data",3,"No, they are about the same",No,Not Sure,No,Rarely,"Yes, Frequently",2,Rarely,Occasionally
18-24,Student,Yes,Sometimes,"Google, Instagram",Less than ₹500,5,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",No,Full transparency about how data is collected and used,4,"Yes, they influence my decisions more",No,Yes,Not Sure,Often,"Yes, Frequently",3,Occasionally,"Yes, frequently"
18-24,Employed,Yes,Sometimes,"Instagram, Youtube",Less than ₹500,5,"Browsing history, Purchase history, Location data, Social media activity",No,No need for detailed transparency as long as ads are relevant,3,"Yes, they influence my decisions more",No,Yes,Yes,Sometimes,"Yes, Frequently",3,Rarely,"Yes, frequently"
Under 18,Student,Yes,Often,"Google, Instagram, Pinterest ",Less than ₹500,2,"Browsing history, Location data",No,"Some transparency, but only for sensitive data",2,"Yes, they influence my decisions more",Yes,Yes,Yes,Often,"Yes, Frequently",3,Occasionally,Rarely
Under 18,Student,Yes,Never,Google,₹500 - ₹2000,4,"Browsing history, Purchase history, Social media activity",Not Sure,"Some transparency, but only for sensitive data",4,"Yes, they influence my decisions more",Yes,Yes,Not Sure,Never,"Yes, Frequently",3,Occasionally,"Yes, frequently"
18-24,Student,Yes,Sometimes,"Google, Youtube",₹500 - ₹2000,4,"Browsing history, Purchase history, Location data, Social media activity",Yes,"Some transparency, but only for sensitive data",4,"Yes, they influence my decisions more",Maybe,Not Sure,Yes,Often,"Yes, Frequently",4,Rarely,Occasionally
45+,Employed,Not Sure,Often,Facebook,More than ₹5000,5,"Browsing history, Purchase history, Location data",No,Full transparency about how data is collected and used,5,"Yes, they influence my decisions more",Maybe,Yes,Yes,Rarely,"Yes, Frequently",4,Rarely,Occasionally
45+,Employed,Yes,Often,"Google, Facebook, Instagram",₹2000 - ₹5000,3,Browsing history,Yes,"Some transparency, but only for sensitive data",3,"Yes, they influence my decisions more",Maybe,Yes,Yes,Often,"Yes, Frequently",3,Rarely,Occasionally
45+,Employed,Yes,Rarely,"Google, Facebook, Instagram, Youtube, ",₹2000 - ₹5000,5,"Browsing history, Purchase history, Social media activity",No,Full transparency about how data is collected and used,5,"No, they are about the same",Maybe,Yes,Not Sure,Always,"Yes, Frequently",1,Occasionally,"Yes, frequently"
45+,Employed,Not Sure,Never,Google,0,2,Social media activity,Yes,Full transparency about how data is collected and used,2,"Yes, they influence my decisions more",Maybe,Not Sure,Not Sure,Sometimes,Occasionally,5,Occasionally,Rarely
45+,Employed,Yes,Never,"Facebook, Youtube",0,1,Social media activity,Not Sure,No need for detailed transparency as long as ads are relevant,1,"Yes, they influence my decisions more",Yes,Yes,No,Sometimes,"Yes, Frequently",3,Rarely,"Yes, frequently"
45+,House wife,Not Sure,Sometimes,Instagram,₹500 - ₹2000,3,Social media activity,Not Sure,No need for detailed transparency as long as ads are relevant,3,"Yes, they influence my decisions more",No,Not Sure,Not Sure,Sometimes,"Yes, Frequently",3,Occasionally,"Yes, frequently"
18-24,Employed,Yes,Never,"Google, Instagram, Youtube",0,3,"Browsing history, Purchase history, Social media activity",Not Sure,No need for detailed transparency as long as ads are relevant,5,"Yes, they influence my decisions more",Yes,Not Sure,Yes,Never,"Yes, Frequently",4,Occasionally,Rarely
25-34,Employed,Yes,Rarely,"Google, Facebook, Instagram",₹2000 - ₹5000,4,"Browsing history, Location data, Demographic information",No,Full transparency about how data is collected and used,4,"Yes, they influence my decisions more",Yes,No,Not Sure,Often,"Yes, Frequently",4,Occasionally,Occasionally
45+,Retired,Yes,Often,"Facebook, Instagram, Youtube",0,3,"Browsing history, Social media activity",Not Sure,No need for detailed transparency as long as ads are relevant,3,"No, they are about the same",Maybe,Not Sure,Not Sure,Rarely,Rarely,3,Rarely,Rarely
Under 18,Student,Yes,Rarely,"Google, Instagram, Youtube",0,5,"Browsing history, Purchase history, Social media activity",No,Full transparency about how data is collected and used,4,"No, they are about the same",Maybe,Yes,Yes,Often,"Yes, Frequently",4,Rarely,"Yes, frequently"
18-24,Student,Yes,Sometimes,"Instagram, Youtube",0,4,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",Not Sure,Full transparency about how data is collected and used,3,"Yes, they influence my decisions more",Maybe,Yes,Not Sure,Never,"Yes, Frequently",3,Rarely,Occasionally
18-24,Student,Yes,Sometimes,Instagram,₹500 - ₹2000,3,"Browsing history, Purchase history, Location data, Demographic information",No,Full transparency about how data is collected and used,2,"No, they are about the same",Maybe,Yes,Not Sure,Never,Occasionally,2,Never,Rarely
25-34,Employed,Yes,Sometimes,"Google, Facebook, Instagram, Youtube",₹500 - ₹2000,4,Social media activity,Yes,"Some transparency, but only for sensitive data",3,"No, they are about the same",Yes,Yes,Not Sure,Sometimes,Occasionally,3,Occasionally,Occasionally
25-34,Employed,Yes,Often,Facebook,₹500 - ₹2000,4,"Browsing history, Purchase history, Social media activity",Yes,Full transparency about how data is collected and used,3,"No, they are about the same",Yes,Not Sure,Yes,Sometimes,"Yes, Frequently",3,Rarely,Rarely
45+,Employed,Yes,Sometimes,Facebook,₹500 - ₹2000,3,Purchase history,No,Full transparency about how data is collected and used,3,"Yes, they influence my decisions more",Yes,No,No,Never,"Yes, Frequently",3,Never,"Yes, frequently"
45+,Employed,Yes,Sometimes,"Google, Facebook, Instagram, Youtube",₹500 - ₹2000,5,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",No,Full transparency about how data is collected and used,5,"Yes, they influence my decisions more",Yes,Yes,Yes,Rarely,"Yes, Frequently",5,Rarely,"Yes, frequently"
18-24,Employed,No,Sometimes,Google,0,3,Social media activity,Not Sure,Full transparency about how data is collected and used,4,"Yes, they influence my decisions more",No,No,Yes,Rarely,Occasionally,4,Occasionally,Occasionally
45+,Retired,Yes,Sometimes,Instagram,Less than ₹500,2,"Browsing history, Social media activity",Not Sure,Full transparency about how data is collected and used,3,"No, they are less influential",No,No,Not Sure,Always,Occasionally,2,Rarely,Rarely
18-24,Student,Yes,Often,"Google, Instagram, Youtube",0,5,"Browsing history, Purchase history, Location data",No,Full transparency about how data is collected and used,5,"Yes, they influence my decisions more",Yes,Yes,Yes,Rarely,Occasionally,3,Occasionally,Occasionally
45+,Employed,Yes,Often,"Google, Youtube, OTT CHANNELS ",₹500 - ₹2000,4,Social media activity,Not Sure,Full transparency about how data is collected and used,3,"No, they are about the same",Maybe,Not Sure,Yes,Sometimes,Occasionally,3,Rarely,Occasionally
45+,Employed,Yes,Often,"Google, Facebook, Instagram, Youtube",₹500 - ₹2000,5,"Browsing history, Purchase history, Location data",Not Sure,Full transparency about how data is collected and used,5,"Yes, they influence my decisions more",Maybe,Yes,Yes,Rarely,"Yes, Frequently",5,Rarely,"Yes, frequently"
45+,Employed,Yes,Sometimes,Youtube,₹2000 - ₹5000,5,"Browsing history, Purchase history",No,Full transparency about how data is collected and used,5,"Yes, they influence my decisions more",Maybe,No,Yes,Rarely,"Yes, Frequently",5,Occasionally,"Yes, frequently"
Under 18,Student,Yes,Never,Instagram,Less than ₹500,3,"Browsing history, Social media activity",Not Sure,Full transparency about how data is collected and used,1,"No, they are about the same",No,Not Sure,Yes,Never,"Yes, Frequently",1,Occasionally,Occasionally
45+,Advocate,Yes,Never,Facebook,0,5,Browsing history,No,"Some transparency, but only for sensitive data",3,"Yes, they influence my decisions more",Yes,No,Yes,Often,"Yes, Frequently",3,"Yes, frequently",Occasionally
45+,Employed,No,Rarely,Youtube,0,5,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",No,Full transparency about how data is collected and used,5,"No, they are about the same",No,Yes,Yes,Never,"Yes, Frequently",1,Never,"Yes, frequently"
45+,Employed,Yes,Never,"Google, Facebook, Instagram, Youtube",₹2000 - ₹5000,5,Social media activity,Yes,Full transparency about how data is collected and used,3,"No, they are less influential",Maybe,Not Sure,No,Rarely,Occasionally,2,"Yes, frequently",Never
35-44,Employed,Yes,Rarely,"Google, Youtube",Less than ₹500,5,"Browsing history, Purchase history, Location data, Demographic information",No,Full transparency about how data is collected and used,5,"No, they are about the same",Maybe,Yes,Yes,Sometimes,"Yes, Frequently",3,Occasionally,"Yes, frequently"
18-24,Employed,Yes,Never,Youtube,0,5,Browsing history,No,Full transparency about how data is collected and used,4,"Yes, they influence my decisions more",Maybe,Not Sure,Yes,Always,"Yes, Frequently",4,Occasionally,"Yes, frequently"
18-24,Employed,Yes,Sometimes,"Google, Instagram, Youtube",Less than ₹500,4,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",Not Sure,Full transparency about how data is collected and used,3,"Yes, they influence my decisions more",Yes,No,Yes,Sometimes,"Yes, Frequently",4,Occasionally,Occasionally
